Movie,link,Movie_comment,Plot,Plot_comment,Picture,Picture_comment,Dialogues,Dialogues_comment,Acting,Acting_comment,Music,Music_comment,Pace,Pace_comment,Immersion,Immersion_comment,Casting,Casting_comment
Moonfall,https://www.imdb.com/title/tt5834426/?ref_=ext_shr_lnk,,3.5,,4,,3,,4,,4,,4,,3,,5,
Watchmen,https://www.imdb.com/title/tt0409459/?ref_=ext_shr_lnk,,1,,3,,4,,3,,1,,1,,0,,5,
Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/?ref_=ext_shr_lnk,,2,,5,,2.5,,4,,4,,2,,2,,5,
Glass Onion,https://www.imdb.com/title/tt11564570/?ref_=ext_shr_lnk,,3,,3,,3,,3,,4,,3.5,,2,,4,
Knives Out,https://www.imdb.com/title/tt8946378/?ref_=ext_shr_lnk,,3,,4,,3.5,,4,,3.5,,4.5,,3,,5,
Asterix & Obelix: Mission Cleopatra,https://www.imdb.com/title/tt0250223/?ref_=ext_shr_lnk,,3,,3,,5,,3,,5,,5,,4,,5,
Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/?ref_=ext_shr_lnk,,3.5,,5,,3,,4,,5,,3,,3,,3,
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=ext_shr_lnk,,4,,4,,3,,4,,4,,4.5,,4,,5,
Bullet train,https://www.imdb.com/title/tt12593682/?ref_=ext_shr_lnk,,2.5,,4,,2,,3,,3,,5,,2,,4,
World War Z,https://www.imdb.com/title/tt0816711/?ref_=ext_shr_lnk,,3,,3,,3,,4,,4,,5,,1,,4,
The Island,https://www.imdb.com/title/tt0399201/?ref_=ext_shr_lnk,,4,,4,,4,,4,,3,,5,,4,,5,
Angels & Demons,https://www.imdb.com/title/tt0808151/?ref_=ext_shr_lnk,,4,,4,,3,,4,,5,,5,,3.5,,4,
Knock Knock,https://www.imdb.com/title/tt3605418/?ref_=ext_shr_lnk,,2,,3,,3.5,,4,,3,,5,,4,,5,
The Menu,https://www.imdb.com/title/tt9764362/?ref_=ext_shr_lnk,,2,,4,,2,,4,,3,,3.5,,2,,5,
The Red Dragon,https://www.imdb.com/title/tt0289765/?ref_=ext_shr_lnk,,4,,3.5,,4,,4,,3,,5,,2,,4.5,
The Sick House,https://www.imdb.com/title/tt0451197/?ref_=ext_shr_lnk,,2,,3,,3,,4,,1,,4,,3,,4,
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=ext_shr_lnk,,5,,5,,5,,5,,5,,4,,5,,5,
Prisoners,https://www.imdb.com/title/tt1392214/?ref_=ext_shr_lnk,,4.2,,4,,4,,5,,1.5,,5,,4,,5,
Arrival,https://www.imdb.com/title/tt2543164/?ref_=ext_shr_lnk,,3,,4.2,,3.5,,4,,3.5,,2,,1,,4,
Dune: Part One,https://www.imdb.com/title/tt1160419/?ref_=ext_shr_lnk,,4,,5,,5,,4.5,,5,Obviously,4.5,,4,,5,
The Mist,https://www.imdb.com/title/tt0884328/?ref_=ext_shr_lnk,,4,,3,,3,,4,,3,,4,,4,,5,
Inception,https://www.imdb.com/title/tt1375666/?ref_=ext_shr_lnk,,5,,5,,5,,5,,5,,5,,5,,5,
Wake Up Dead Man,https://www.imdb.com/title/tt14364480/?ref_=ext_shr_lnk,,1.5,"I mean, “who did it” is really obvious from the beginning… and everything is stupid.",2.5,Bare minimum effort,2.5,"Nothing shocking, but not one good line either",4,"Great performances, limited by shallow characters",1,Not even sure there was any,4,,3.5,"Despite the terrible plot, I was still curious about how it would unravel ",5,
