Timestamp,Date [Run],Date [Talk],Date [Kiss],Date [Write],Date [Eat],Date [Sleep],Date [Mumble],Date [Read],Date [Fight],Date [Burp],Date [Argue],Date [Jump],Date [Cry],Date [Laugh],Date [Shout],Class [Run],Class [Talk],Class [Kiss],Class [Write],Class [Eat],Class [Sleep],Class [Mumble],Class [Read],Class [Fight],Class [Burp],Class [Argue],Class [Jump],Class [Cry],Class [Laugh],Class [Shout],Bus [Run],Bus [Talk],Bus [Kiss],Bus [Write],Bus [Eat],Bus [Sleep],Bus [Mumble],Bus [Read],Bus [Fight],Bus [Burp],Bus [Argue],Bus [Jump],Bus [Cry],Bus [Laugh],Bus [Shout],Family dinner [Run],Family dinner [Talk],Family dinner [Kiss],Family dinner [Write],Family dinner [Eat],Family dinner [Sleep],Family dinner [Mumble],Family dinner [Read],Family dinner [Fight],Family dinner [Burp],Family dinner [Argue],Family dinner [Jump],Family dinner [Cry],Family dinner [Laugh],Family dinner [Shout],Park [Run],Park [Talk],Park [Kiss],Park [Write],Park [Eat],Park [Sleep],Park [Mumble],Park [Read],Park [Fight],Park [Burp],Park [Argue],Park [Jump],Park [Cry],Park [Laugh],Park [Shout],Place of worship [Run],Place of worship [Talk],Place of worship [Kiss],Place of worship [Write],Place of worship [Eat],Place of worship [Sleep],Place of worship [Mumble],Place of worship [Read],Place of worship [Fight],Place of worship [Burp],Place of worship [Argue],Place of worship [Jump],Place of worship [Cry],Place of worship [Laugh],Place of worship [Shout],Job interview [Run],Job interview [Talk],Job interview [Kiss],Job interview [Write],Job interview [Eat],Job interview [Sleep],Job interview [Mumble],Job interview [Read],Job interview [Fight],Job interview [Burp],Job interview [Argue],Job interview [Jump],Job interview [Cry],Job interview [Laugh],Job interview [Shout],Sidewalk [Run],Sidewalk [Talk],Sidewalk [Kiss],Sidewalk [Write],Sidewalk [Eat],Sidewalk [Sleep],Sidewalk [Mumble],Sidewalk [Read],Sidewalk [Fight],Sidewalk [Burp],Sidewalk [Argue],Sidewalk [Jump],Sidewalk [Cry],Sidewalk [Laugh],Sidewalk [Shout],Movies [Run],Movies [Talk],Movies [Kiss],Movies [Write],Movies [Eat],Movies [Sleep],Movies [Mumble],Movies [Read],Movies [Fight],Movies [Burp],Movies [Argue],Movies [Jump],Movies [Cry],Movies [Laugh],Movies [Shout],Bar [Run],Bar [Talk],Bar [Kiss],Bar [Write],Bar [Eat],Bar [Sleep],Bar [Mumble],Bar [Read],Bar [Fight],Bar [Burp],Bar [Argue],Bar [Jump],Bar [Cry],Bar [Laugh],Bar [Shout],Elevator [Run],Elevator [Talk],Elevator [Kiss],Elevator [Write],Elevator [Eat],Elevator [Sleep],Elevator [Mumble],Elevator [Read],Elevator [Fight],Elevator [Burp],Elevator [Argue],Elevator [Jump],Elevator [Cry],Elevator [Laugh],Elevator [Shout],Restroom [Run],Restroom [Talk],Restroom [Kiss],Restroom [Write],Restroom [Eat],Restroom [Sleep],Restroom [Mumble],Restroom [Read],Restroom [Fight],Restroom [Burp],Restroom [Argue],Restroom [Jump],Restroom [Cry],Restroom [Laugh],Restroom [Shout],Own room [Run],Own room [Talk],Own room [Kiss],Own room [Write],Own room [Eat],Own room [Sleep],Own room [Mumble],Own room [Read],Own room [Fight],Own room [Burp],Own room [Argue],Own room [Jump],Own room [Cry],Own room [Laugh],Own room [Shout],Dorm lounge [Run],Dorm lounge [Talk],Dorm lounge [Kiss],Dorm lounge [Write],Dorm lounge [Eat],Dorm lounge [Sleep],Dorm lounge [Mumble],Dorm lounge [Read],Dorm lounge [Fight],Dorm lounge [Burp],Dorm lounge [Argue],Dorm lounge [Jump],Dorm lounge [Cry],Dorm lounge [Laugh],Dorm lounge [Shout],Football game [Run],Football game [Talk],Football game [Kiss],Football game [Write],Football game [Eat],Football game [Sleep],Football game [Mumble],Football game [Read],Football game [Fight],Football game [Burp],Football game [Argue],Football game [Jump],Football game [Cry],Football game [Laugh],Football game [Shout],Comments
29/12/2021 21:54:02,6,9,8,3,9,1,6,3,1,2,1,6,3,9,2,2,3,1,9,3,4,6,7,1,1,1,2,3,7,2,1,7,6,8,6,8,8,9,1,2,2,1,6,8,2,1,9,2,1,9,1,4,2,1,4,4,1,3,9,2,9,9,8,9,9,6,9,9,2,8,7,7,8,9,3,1,3,2,2,1,2,6,7,1,2,1,2,6,1,1,2,9,1,7,6,1,3,7,1,1,5,1,1,6,1,9,9,7,7,8,4,8,7,2,7,3,8,6,8,6,1,2,6,6,8,6,6,3,1,2,1,2,9,9,1,2,9,6,4,9,2,7,8,2,2,2,3,2,9,2,1,4,2,7,2,1,2,7,1,1,1,1,3,2,1,1,8,2,2,1,1,6,8,2,2,2,2,2,3,2,3,9,9,9,6,9,9,9,2,8,6,3,9,9,6,5,9,6,9,8,6,9,9,2,3,2,6,6,9,2,2,9,5,3,7,2,8,3,2,2,5,7,7,8,6,
30/12/2021 15:00:39,2,9,3,7,5,1,1,5,1,1,4,1,1,5,1,1,6,1,7,2,2,1,9,1,1,3,1,1,4,1,2,5,1,1,4,8,1,9,1,2,1,1,1,4,2,1,8,1,1,9,1,3,1,1,3,3,1,1,7,1,5,6,2,1,6,1,1,6,1,1,1,1,1,5,1,1,2,1,3,1,1,1,5,1,1,1,1,1,1,1,1,9,1,5,1,1,1,5,1,1,3,1,1,3,1,5,5,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,6,1,1,1,1,1,3,1,1,9,1,1,7,1,2,1,1,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,5,8,7,9,2,9,2,6,7,5,5,6,5,1,7,1,8,6,9,2,9,3,2,2,1,2,5,2,9,4,1,1,1,1,1,1,3,1,1,3,1,3,6,
03/01/2022 18:26:52,2,9,8,3,6,1,1,3,1,1,2,2,1,7,1,1,4,1,9,2,1,3,9,1,1,3,1,1,4,1,1,9,5,8,5,3,6,9,1,1,3,1,4,8,2,1,7,3,2,9,3,3,3,1,4,2,3,2,8,3,9,9,7,8,9,8,6,9,1,2,7,8,5,9,5,1,1,2,2,2,1,5,8,1,1,1,1,1,2,1,1,4,1,4,1,1,1,4,1,1,2,1,1,1,1,7,9,6,2,5,1,5,4,3,1,7,3,1,9,3,1,1,5,3,7,6,2,1,1,1,1,1,6,5,1,1,9,4,5,9,2,4,9,1,1,5,1,1,6,1,1,7,3,3,2,1,7,5,1,1,2,1,1,6,5,1,5,4,2,2,1,5,5,1,3,2,1,2,5,5,7,9,9,9,9,9,9,9,6,9,9,9,9,9,9,1,8,8,9,4,3,7,9,1,1,4,2,8,7,2,2,9,6,2,8,1,8,2,1,2,5,4,5,9,9,
03/01/2022 18:43:13,2,9,6,5,9,1,2,5,1,1,5,7,1,9,1,2,3,1,9,4,1,4,9,1,1,6,2,2,6,1,2,9,6,9,3,8,9,9,1,1,5,2,5,9,1,3,9,9,3,9,3,8,3,4,3,7,8,8,9,5,9,9,9,6,9,2,7,7,2,1,5,9,7,9,4,2,3,5,5,1,2,4,9,1,1,2,3,3,4,1,1,9,1,8,1,1,1,9,1,1,2,1,1,4,1,9,9,9,7,6,1,5,9,3,1,6,6,7,9,3,2,3,7,7,7,5,3,5,1,1,2,2,9,9,1,3,9,9,5,9,1,5,8,4,1,7,3,6,9,4,1,9,8,4,5,2,4,9,3,1,5,1,5,8,2,1,9,5,5,2,5,5,6,2,1,6,3,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,8,3,4,9,4,1,6,4,4,9,4,9,9,3,6,2,1,3,6,6,1,7,9,7,9,9,
03/01/2022 19:01:25,2,9,8,4,6,1,2,3,2,1,5,2,4,7,4,2,7,3,9,3,1,6,6,3,1,6,2,4,5,3,2,8,6,8,6,7,7,9,3,3,4,2,5,7,3,1,9,3,4,9,3,5,4,4,2,7,2,4,9,4,9,7,9,7,7,9,7,9,4,3,5,9,6,8,8,1,6,6,7,2,1,6,8,1,1,3,1,7,3,2,1,9,2,7,2,1,2,8,2,1,7,1,4,6,1,8,9,6,5,9,3,5,4,2,4,4,7,6,8,7,1,2,8,5,7,7,6,4,2,1,3,1,8,5,1,1,9,9,6,8,6,4,7,5,5,7,1,5,9,7,2,8,8,6,7,2,5,9,1,3,7,1,4,7,5,2,8,8,2,5,8,4,7,3,4,6,2,7,6,1,6,9,9,9,9,9,6,9,4,7,7,4,8,9,5,3,7,8,9,7,8,7,9,2,4,6,2,5,8,3,3,9,7,2,9,5,5,6,8,9,9,9,9,8,9,For the football match I assumed it was as a spectator
03/01/2022 19:01:39,4,9,7,3,6,1,2,4,1,1,2,3,1,9,1,2,7,1,9,4,1,1,9,2,3,5,2,4,6,3,3,9,2,2,5,5,2,8,4,3,3,3,3,7,3,1,8,1,1,9,1,1,5,3,4,3,1,3,7,3,7,7,5,4,7,5,5,7,3,3,3,7,3,8,5,1,1,1,3,1,1,1,9,1,1,1,1,1,1,1,1,9,1,4,1,1,1,4,1,1,4,1,1,8,1,6,5,5,1,3,1,4,3,5,5,3,5,5,9,5,1,3,4,1,7,1,1,1,1,1,1,1,1,7,1,1,9,4,1,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,4,1,1,1,1,1,1,1,1,7,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,5,9,7,9,5,9,3,7,7,7,7,9,7,2,9,2,9,9,9,4,9,2,2,2,2,2,9,2,4,9,1,4,1,1,1,1,1,1,6,5,1,9,9,
03/01/2022 19:21:55,5,9,9,7,9,1,1,7,1,5,5,5,2,7,1,1,5,1,9,1,1,2,9,1,5,7,1,1,5,1,1,4,5,9,3,9,6,9,1,5,1,1,3,1,1,1,8,5,3,9,1,3,2,1,8,5,1,1,8,1,9,9,9,9,9,9,9,9,3,9,5,9,3,9,9,1,1,1,9,1,1,5,9,1,1,1,1,1,1,1,1,9,1,8,1,1,1,9,1,5,5,1,1,1,1,7,5,1,1,1,1,7,1,1,5,1,5,1,5,1,1,1,3,7,5,7,1,9,1,1,1,1,5,5,1,5,9,9,9,9,5,9,9,1,9,7,9,7,9,9,1,6,3,9,5,1,5,9,1,2,1,1,1,1,1,1,5,1,5,5,1,9,7,1,9,3,1,7,5,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,5,2,7,5,1,7,8,1,5,5,1,1,3,1,1,9,9,9,9,6,9,9,8,9,9,9,9,9,9,"There are some choices I'm torn about, I think even in the same scenario, each behavior fits differently in different situations."
03/01/2022 19:31:30,5,9,7,3,9,1,2,3,1,1,1,5,2,9,3,1,5,1,9,5,1,1,9,1,1,1,1,1,3,1,1,7,5,7,5,5,5,7,1,3,1,1,3,7,2,1,9,4,1,9,1,3,1,1,5,1,1,3,9,1,9,9,7,9,9,5,5,9,5,5,3,9,5,9,5,1,9,1,9,5,1,1,9,1,1,1,1,1,7,1,1,9,1,1,1,1,1,5,1,1,1,1,1,5,1,7,7,7,3,6,1,6,6,2,2,5,6,6,7,3,1,1,5,1,7,3,1,1,1,1,1,1,7,3,1,1,9,7,5,9,1,5,5,1,5,1,1,5,9,3,1,9,5,1,5,1,1,5,1,1,5,1,1,5,1,1,7,1,1,1,1,1,1,1,5,1,1,5,7,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,3,5,9,2,2,2,5,5,9,3,1,9,5,1,7,1,7,1,1,1,1,1,1,9,9,Not all the behaviors are applicable to each situation 
03/01/2022 19:44:05,6,9,9,8,8,3,4,4,2,3,7,6,6,9,6,4,4,4,9,6,2,5,9,1,1,7,2,2,6,4,3,9,7,8,6,8,6,9,1,1,3,6,4,6,4,2,9,8,3,9,2,7,5,2,6,5,7,4,9,4,9,9,9,9,9,8,7,9,7,7,6,9,8,9,6,3,6,3,8,2,3,9,9,2,1,1,1,8,7,2,3,9,1,8,1,1,3,3,1,2,6,2,1,8,3,8,8,6,5,6,3,6,5,3,6,7,7,5,9,5,1,2,7,8,7,8,8,8,1,5,1,2,6,5,2,5,9,8,7,9,2,4,7,3,7,4,6,4,9,6,2,9,6,7,6,1,8,8,1,3,3,1,4,8,5,2,9,6,4,3,3,7,4,3,6,4,6,7,8,3,7,9,9,9,9,9,8,9,8,9,8,9,9,9,7,5,9,8,9,9,7,6,9,6,6,6,7,7,9,5,6,8,7,4,9,3,3,3,7,8,8,9,6,7,9,
03/01/2022 20:04:53,8,9,9,9,9,7,1,9,2,8,4,9,9,9,9,1,5,1,9,3,1,1,9,1,1,1,1,1,4,4,1,5,5,5,2,4,5,5,1,3,1,1,5,9,3,1,9,4,1,9,1,1,4,1,2,3,1,1,9,5,9,9,9,9,9,9,9,9,1,9,2,9,9,9,9,1,1,5,9,1,1,5,9,1,1,1,1,6,1,1,1,9,1,2,1,1,1,4,1,1,1,1,1,6,1,9,9,9,3,9,1,6,1,1,6,6,5,9,9,9,1,2,9,3,9,6,9,1,1,3,1,1,1,9,1,1,9,9,9,9,1,3,9,1,6,1,9,9,9,9,1,9,9,1,3,1,9,9,1,3,1,1,1,9,1,1,5,4,1,1,1,2,9,1,6,1,1,1,4,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,6,9,9,1,6,9,1,5,1,3,5,9,3,9,9,5,7,9,5,9,8,5,9,9,9,9,9,9,Funny
