Identifiant espace vert;Typologie d'espace vert;Catégorie;Adresse - Numéro;Adresse - Complément;Adresse - type voie;Adresse - Libellé voie;Code postal;Surface calculée;Superficie totale réelle;Surface horticole;Présence cloture;Périmètre;Année de l'ouverture;Année de rénovation;Ancien nom de l'espace vert;Année de changement de nom;Nombre d'entités;Ouverture 24h_24h;ID_DIVISION;ID_ATELIER_HORTICOLE;IDA3D_ENB;SITE_VILLES;ID_EQPT;Compétence
10741;Décorations sur la voie publique;Jardiniere;34;;AVENUE DES;GOBELINS;75013;783;799;799;Non;761.36397807;;;;;31;;113;19;JDE7305;SV;7305;CA
10196;Décorations sur la voie publique;Jardiniere;16;;RUE DES;PETITS CARREAUX;75002;6;10;10;Non;16.20779853;;;;;2;;101;1;JDE7113;SV;7113;CA
11252;Décorations sur la voie publique;Jardiniere;9;;COUR DE LA;FERME SAINT-LAZARE;75010;43;39;39;Non;53.89618312;2010;;;;2;;104;10;JDE8171;SV;8171;CA
10939;Décorations sur la voie publique;Jardiniere;2;V;ESPLANADE;LEO HAMON;75013;291;155;155;Non;123.68338672;2006;;;;2;;113;19;JDE7355;SV;7355;CA
11111;Décorations sur la voie publique;Jardiniere;1;V;RUE;ERNEST ET HENRI ROUSSELLE;75013;20;20;20;Non;15.89006698;2006;;;;1;;113;19;JDE7360;SV;7360;CA
423;Promenades ouvertes;Parc;11;;AVENUE;MARCEL PROUST;75016;13995;13780;9907;Oui;843.1082902;2004;;;;1;Non;116;33;59512;4007;3439;CA
185;Promenades ouvertes;Promenade;11;;ALLEE;VIVALDI;75012;4168;1756;1340;Non;630.50109103;1993;;COULEE VERTE  - REUILLY -VIVALDI;2013;1;Oui;111;15;50008;3803;4993;CA
10340;Décorations sur la voie publique;Jardiniere;168;;AVENUE DE;CHOISY;75013;152;160;160;Non;122.39378379;;;;;7;;113;163;JDE7297;SV;7297;CA
775;Promenades ouvertes;Jardin;59;;BOULEVARD;DAVOUT;75020;16416;16253;11186;Oui;603.43256079;1986;;;;1;Non;120;47;69194;614;3337;CA
11106;Décorations sur la voie publique;Jardiniere;2;V;PLACE DE L';EUROPE;75008;96;96;96;Non;34.79683306;;;;;1;;104;8;JDE7220;SV;7220;CA
10943;Décorations sur la voie publique;Jardiniere;2;V;PLACE;BIENVENUE;75015;85;138;138;Non;36.84167326;;;;;1;;115;24;JDE7430;SV;7430;CA
11199;Murs végétalisés;Murs vegetalises;7;;RUE;EUGENIE COTTON;75019;4;;;Non;12.38657293;2005;;SQUARE EUGENIE COTTON;;1;;119;43;JDE7565;SV;7565;CP
10262;Décorations sur la voie publique;Jardiniere;54;;RUE;GALANDE;75005;5;43;43;Non;20.58216242;;;;;1;;113;4;JDE7190;SV;7190;CA
10903;Décorations sur la voie publique;Jardiniere;94;Z;RUE D';AUBERVILLIERS;75019;40;33;33;Non;37.34180641;;;;;1;;119;42;JDE7534;SV;7534;CA
10920;Décorations sur la voie publique;Jardiniere;2;;RUE;MADELEINE MARZIN;75020;104;85;85;Non;109.36491232;;;;;5;;120;47;JDE7581;SV;7581;CA
10877;Jardinets décoratifs;Jardinet;18;V;PLACE DE;VERDUN;75017;391;650;650;Non;84.18158478;1997;;;;1;;117;34;0;A92051;7476;CA
10278;Décorations sur la voie publique;Jardiniere;4;;QUAI;BRANLY;75007;4280;3200;3200;Non;2978.53627199;2016;;;;19;;101;6;JDE7207;SV;7207;CP
10286;Décorations sur la voie publique;Decoration;2;;AVENUE;PIERRE LOTI;75007;1225;147;147;Non;714.67627911;;;;;8;;101;7;JDE7215;SV;7215;CP
10971;Décorations sur la voie publique;Jardiniere;9;;RUE;SAINT-BON;75004;34;35;35;Non;29.96523183;2008;;;;1;;101;3;JDE7148;SV;7148;CA
10293;Décorations sur la voie publique;Jardiniere;1;V;AVENUE;TRUDAINE;75009;863;1006;1006;Non;618.38297972;;;;;7;;104;8;JDE7222;SV;7222;CA
10142;Jardins privatifs;Jardin;23;;RUE  DE;SEVIGNE;75003;1247;1337;448;Oui;226.18483504;;;;;2;Non;101;2;126490;1385;3217 DAC;CP
306;Promenades ouvertes;Jardin;1;B;AVENUE;MAURICE D OCAGNE;75014;1266;815;755;Non;524.79355631;1990;;;;1;Oui;114;23;54516;3091;6288;CA
10365;Décorations sur la voie publique;Jardiniere;2;;AVENUE;JOSEPH BEDIER;75013;281;252;252;Non;189.97126431;;;;;3;;113;17;JDE7319;SV;7319;CA
10370;Décorations sur la voie publique;Jardiniere;15;;RUE;KUSS;75013;145;151;151;Non;52.02620378;2006;;;;1;;113;20;JDE7323;SV;7323;CA
10945;Décorations sur la voie publique;Jardiniere;11;;RUE DU;COMMERCE;75015;79;84;84;Non;133.00962354;2006;;;;13;;115;26;JDE7432;SV;7432;CA
11403;Ephémères, partagés, pédagogiques;Jardin partage;18;;RUE DU;CHALET;75010;175;154;154;Oui;52.87101919;2016;;LE JARDIN DU COIN;;1;Non;104;10;202130;702;9544;CA
420;Promenades ouvertes;Jardin;27;;BOULEVARD;FLANDRIN;75016;5280;4800;3600;Oui;544.69885372;1989;;PROMENADE FLANDRIN;1997;1;Non;116;30;59734;4030;3404;CA
11173;Murs végétalisés;Murs vegetalises;19;;AVENUE DU;PARC DE PASSY;75016;3;;;Non;50.68035636;2005;;;;1;;116;33;JDE7469;SV;7469;CP
447;Promenades ouvertes;Square;19;;RUE;EMILE LEVEL;75017;4515;4355;1643;Oui;267.53089778;1935;;SQUARE RUES BOULAY - EMILE LEVEL;;1;Non;117;36;61394;4121;3580;CA
465;Promenades ouvertes;Square;24;;RUE;CHRISTINE DE PISAN;75017;3818;4145;1595;Oui;492.74708973;1986;;;2000;1;Non;117;35;62018;58;3659;CA
11452;Ephémères, partagés, pédagogiques;Jardin partage;27;;RUE;BEAUDELIQUE;75018;181;132;132;Oui;54.45609525;2011;;;;1;Non;118;38;81849;1480;8458;CP
11462;Murs végétalisés;Murs vegetalises;2;;IMPASSE DES;DEUX NETHES;75018;6;;;Non;56.26575887;2007;;;;1;;118;37;JDE10194;785;10194;CP
11482;Décorations sur la voie publique;Jardinet;35;V;RUE;ALEXANDER FLEMING;75019;364;355;355;Non;91.19382823;;;;;1;;119;43;JDE10271;SV;10271;CA
11510;Promenades ouvertes;Jardin;10;;RUE;COLETTE MAGNY;75019;4627;5000;5000;Oui;334.23721418;2016;;;2017;1;Non;119;42;273073;5725;10068;CA
10046;Promenades ouvertes;Square;2;;RUE;FERNAND LEGER;75020;1002;1034;665;Oui;209.17501431;2006;;;2007;1;Non;120;44;70173;3461;6247;CA
11213;Décorations sur la voie publique;Jardiniere;140;W;BOULEVARD DE;MENILMONTANT;75020;281;300;300;Non;95.52448791;2011;;;;2;;120;44;JDE6657;SV;6657;CA
795;Périphérique;Talus;0;;;;75020;6030;;;Non;667.4237588;;;;;1;;9;;0;0;0;0
800;Périphérique;Talus;0;;;;75020;1344;;;Non;292.0184649;;;;;1;;9;;0;0;0;0
642;Périphérique;Talus;0;;;;75018;6306;;;Non;1363.38983743;;;;;1;;999;;0;0;0;0
11591;Périphérique;Talus;0;;;;75018;1368;;;Non;742.8528417;;;;;1;;999;;0;0;0;0
11598;Périphérique;Talus;0;;;;75017;1327;;;Non;478.88872527;;;;;1;;999;;0;0;0;0
11609;Périphérique;Talus;0;;;;75017;54;;;Non;44.88460311;;;;;1;;999;;0;0;0;0
431;Périphérique;Talus;0;;;;75016;1493;;;Non;279.33594199;;;;;1;;9999;;0;0;0;0
11657;Périphérique;Talus;0;;;;75016;1071;;;Non;241.5977931;;;;;1;;9999;;0;0;0;0
11705;Décorations sur la voie publique;Jardiniere;28;;RUE DE;REUILLY;75012;160;160;160;Non;59.54947158;2017;;;;1;;111;15;JDE10253;SV;10253;CA
11738;Murs végétalisés;Murs vegetalises;41;BIS;RUE;JEAN DE LA FONTAINE;75016;1;;;Non;11.94955266;2016;;;;6;;116;32;JDE9621;1992;9621;CA
11776;Promenades ouvertes;Jardin;90;;RUE DU;CHERCHE MIDI;75006;490;500;286;Oui;128.81622658;2018;;JARDIN DE LA CONGREGATION DES LAZARISTES;2018;1;Non;114;5;305027;5833;10485;CA
11479;Décorations sur la voie publique;Jardiniere;30;V;VOIE;CZ/19;75019;409;500;500;Non;93.28458047;2013;;;;1;;119;41;JDE9345;SV;9345;CA
11801;Décorations sur la voie publique;Jardiniere;72;TER;RUE DES;MARTYRS;75009;;190;190;Non;;2018;;;;15;;104;8;JDE10248;SV;10248;CA
11426;Ephémères, partagés, pédagogiques;Jardin partage;14;;RUE DU;MOULIN DE LA VIERGE;75014;177;280;280;Oui;90.06277876;2008;;JARDIN DE FALBALA;;1;Non;114;22;54569;524;0;0
11873;Ephémères, partagés, pédagogiques;Jardin partage;18;;RUE DE;NOISY LE SEC;75020;335;350;350;Oui;;2013;;LE SOULIER DES FOUGERES;;1;Non;120;45;263022;2130;0;0
11936;Décorations sur la voie publique;Jardiniere;2;;RUE;EMILE BOREL;75017;;127;127;Non;;2019;;;;2;;117;35;JDE10714;SV;10714;CA
11938;Décorations sur la voie publique;Jardiniere;5;;RUE;AUGUSTIN THIERRY;75019;40;45;45;Non;;2019;;;;1;;119;43;JDE10723;SV;10723;CA
10900;Décorations sur la voie publique;Jardiniere;20;;ALLEE;ARTHUR HONEGGER;75019;1472;1400;1400;Non;158.72437765;;2019;;;7;;119;41;JDE7532;SV;7532;CA
11816;Décorations sur la voie publique;Jardiniere;64;;RUE DU;CHEVALERET;75013;1663;1600;1600;Non;;2018;;JARDINIERES DE LA PROMENADE PLANTEE TOLBIAC CHEVALERET;;8;;113;18;JDE8344;SV;8344;CA
11218;Promenades ouvertes;Jardin;49;;RUE;PIERRE REBIERE;75017;905;1421;378;Oui;83.51459187;2015;;JARDIN DU 49 RUE PIERRE REBIERE;2019;1;Non;117;35;256591;742;7079;CA
11501;Décorations sur la voie publique;Jardiniere;2;;RUE DU;BASTION;75017;1176;1100;1100;Non;1462.74291974;2019;;;;7;;117;35;JDE10263;SV;10263;CA
11997;Ephémères, partagés, pédagogiques;Jardin partage;35;;RUE DU;JAVELOT;75013;1162;1160;1160;Oui;;2019;;;;1;Non;113;17;0;0;0;CP
101;Promenades ouvertes;Jardin;5;X;AVENUE DES;CHAMPS ELYSEES;75008;97378;129000;59989;Non;6016.54442803;1928;;;1999;1;Oui;104;9;46225;3752;4979;CP
12015;Murs végétalisés;Murs vegetalises;6;;RUE DES;BLANCS MANTEAUX;75004;;38;38;Non;;2015;;SQUARE CHARLES VICTOR LANGLOIS;;2;;101;3;0;SV;0;0
12024;Murs végétalisés;Murs vegetalises;63;;RUE;LHOMOND;75005;;20;20;Non;;2019;;;;2;;113;4;0;SV;0;CP
12040;Murs végétalisés;Murs vegetalises;79;BIS;RUE;LA FAYETTE;75009;;25;25;Non;;2019;;SQUARE MONTHOLON;;1;;104;8;0;SV;0;0
12073;Murs végétalisés;Murs vegetalises;20;;RUE;SAILLARD;75014;;58;58;Non;;2020;;SQUARE DE L'ASPIRANT DUNAND;;1;;114;22;0;3070;0;0
12080;Murs végétalisés;Murs vegetalises;148;;RUE;VERCINGETORIX;75014;;38;38;Non;;2019;;SQUARE HENRI ET ACHILLE DUCHENE;;1;;114;22;0;4293;0;0
12086;Promenades ouvertes;Promenade;34;;RUE;BELLIARD;75018;9619;0;0;Oui;;9999;;;;0;Non;118;38;0;0;11647;CP
12104;Murs végétalisés;Murs vegetalises;21;;RUE DU;COTENTIN;75015;;65;65;Non;;2015;;SQUARE PIERRE-ADRIEN DALPAYRAT;;1;;115;24;0;3229;0;0
12139;Murs végétalisés;Murs vegetalises;176;;BOULEVARD;MACDONALD;75019;;39;39;Non;;2019;;SQUARE CLAUDE BERNARD;;1;;119;41;0;3124;0;0
11961;Décorations sur la voie publique;Jardiniere;2;;RUE DES;RONDONNEAUX;75020;27;28;28;Non;;2020;;;;3;;120;46;JDE10851;SV;10851;CA
12145;Murs végétalisés;Murs vegetalises;126;;RUE DE;BAGNOLET;75020;;60;60;Non;;2017;;SQUARE ANTOINE BLONDIN;;1;;120;46;0;1185;0;0
12152;Murs végétalisés;Murs vegetalises;16;Z;RUE;ALBERT WILLEMETZ;75020;;200;200;Non;;2016;;;;1;;120;47;0;SV;0;0
