# name;planet_status;mass;mass_error_min;mass_error_max;mass_sini;mass_sini_error_min;mass_sini_error_max;radius;radius_error_min;radius_error_max;orbital_period;orbital_period_error_min;orbital_period_error_max;semi_major_axis;semi_major_axis_error_min;semi_major_axis_error_max;eccentricity;inclination;angular_distance;discovered;detection_type;mag_v;star_distance;star_mass
11 Com b;Confirmed;;;;19.4;1.5;1.5;;;;326.03;0.32;0.32;1.29;0.05;0.05;0.231;;0.011664;2008;Radial Velocity;4.74;110.6;2.7
11 Oph b;Confirmed;21.0;3.0;3.0;;;;;;;730000.0;365000.0;365000.0;243.0;55.0;55.0;;;1.675862;2007;Imaging;;145.0;0.0162
11 UMi b;Confirmed;;;;10.5;2.47;2.47;;;;516.22;3.25;3.25;1.54;0.07;0.07;0.08;;0.012887;2009;Radial Velocity;5.02;119.5;1.8
14 And b;Confirmed;;;;5.33;0.57;0.57;;;;185.84;0.23;0.23;0.83;;;0.0;;0.010864;2008;Radial Velocity;5.22;76.4;2.2
14 Her b;Confirmed;;;;4.64;0.19;0.19;;;;1773.4;2.5;2.5;2.77;0.05;0.05;0.369;;0.153039;2002;Radial Velocity;6.67;18.1;0.9
14 Her c;Confirmed;5.8;1.0;1.4;;;;;;;6906.0;70.0;70.0;16.4;4.3;0.3;0.45;;0.381215;2006;Radial Velocity;6.67;18.1;0.9
16 Cyg B b;Confirmed;;;;1.68;0.07;0.07;;;;799.5;0.6;0.6;1.68;0.03;0.03;0.689;;0.078468;1996;Radial Velocity;6.2;21.41;1.01
17 Sco b;Confirmed;;;;4.32;0.12;0.15;;;;578.38;2.0;2.0;1.45;0.02;0.02;0.06;;;2020;Radial Velocity;5.24;116.0;1.22
18 Del b;Confirmed;;;;10.3;;;;;;993.3;3.2;3.2;2.6;;;0.08;;0.035568;2008;Radial Velocity;5.52;73.1;2.3
1I/'Oumuamua;Confirmed;;;;;;;2E-06;;;;;;;;;1.196;;;2017;Imaging;;;1.0
1RXS 1609 b;Confirmed;14.0;3.0;2.0;;;;1.7;;;;;;330.0;0.0;0.0;;;2.275862;2008;Imaging;;145.0;0.73
1RXS J235133.3+312720 b;Confirmed;32.0;6.0;6.0;;;;;;;;;;120.0;20.0;20.0;;;;2012;Imaging;13.6;;0.45
1SWASP J1407 b;Confirmed;;;;20.0;6.0;6.0;;;;3725.0;900.0;900.0;3.9;1.7;1.7;;;;2012;Primary Transit;12.4;133.0;0.9
24 Boo b;Confirmed;;;;0.91;0.1;0.13;;;;30.3506;0.0078;0.0078;0.19;0.009;0.012;0.042;;;2018;Radial Velocity;5.6;100.0;0.99
24 Sex b;Confirmed;;;;1.99;0.38;0.26;;;;452.8;4.5;2.1;1.333;0.009;0.004;0.09;;0.017821;2010;Radial Velocity;7.38;72.2084;1.54
24 Sex c;Confirmed;;;;0.86;0.22;0.35;;;;883.0;14.0;32.0;2.08;0.02;0.05;0.29;;0.027807;2010;Radial Velocity;7.38;72.2084;1.54
2I/Borisov;Confirmed;;;;;;;6.2e-05;;;;;;;;;3.155;;;2019;Imaging;;;1.0
2M 0103-55 (AB) b;Confirmed;13.0;1.0;1.0;;;;;;;;;;84.0;;;;;;2013;Imaging;;47.2;0.4
2M 0219-39 b;Confirmed;13.9;1.1;1.1;;;;1.44;0.03;0.03;;;;156.0;10.0;10.0;;;;2015;Imaging;;39.4;0.11
2M 0441+23 b;Confirmed;7.5;2.5;2.5;;;;;;;;;;15.0;0.6;0.6;;;0.107143;2010;Imaging;;140.0;0.02
2M 1938+46 b;Confirmed;1.9;0.1;0.1;;;;;;;416.0;2.0;2.0;0.92;0.02;0.02;;;;2015;Timing;;;0.6
2M 2140+16 b;Confirmed;20.0;20.0;80.0;;;;0.92;0.39;0.39;7340.0;584.0;584.0;3.53;0.15;0.15;0.26;46.2;0.1412;2010;Imaging;;25.0;0.08
2M 2206-20 b;Confirmed;30.0;20.0;70.0;;;;1.3;0.18;0.18;8686.0;69.4;69.4;4.48;0.4;0.4;0.0;44.3;0.167979;2010;Imaging;;26.67;0.13
2M 2236+4751 b;Confirmed;12.5;1.5;1.5;;;;;;;;;;230.0;20.0;20.0;;;3.7;2016;Imaging;12.5;63.0;0.6
2M J2126-81 b;Confirmed;13.3;1.7;1.7;;;;;;;;;;6900.0;;;;;;2016;Imaging;9.0;24.75;0.4
2M0045+16;Confirmed;25.0;4.6;4.6;;;;;;;;;;;;;;;;2019;Imaging;;15.4;
2M0117-34;Confirmed;16.4;3.7;3.7;;;;;;;;;;;;;;;;2019;Imaging;;39.02;
2M0838+15 b;Confirmed;;;;;;;;;;;;;27.0;2.7;2.7;;;;2013;Imaging;;49.0;
2M0838+15 c;Confirmed;;;;;;;;;;;;;27.0;2.7;2.7;;;;2013;Imaging;;49.0;
2M1059-21 b;Confirmed;66.95;4.84;4.41;;;;;;;690.0;3.0;3.4;0.8;0.02;0.01;0.146;32.9;;2020;Astrometry;;31.81;0.81
2M1207 A;Confirmed;60.0;20.0;80.0;;;;;;;;;;42.0;2.0;19.0;;;;2004;Imaging;;52.4;
2M1207 b;Confirmed;5.0;2.0;2.0;;;;;;;;;;42.0;2.0;19.0;;;0.877863;2004;Imaging;;52.4;
2M1510A a;Confirmed;40.0;3.0;3.0;;;;1.57;1.56;1.57;20.902;0.006;0.006;0.063;0.001;0.001;0.31;88.5;;2020;Primary Transit;;36.6;
2M1510A b;Confirmed;39.3;3.0;3.0;;;;1.57;1.56;1.57;20.902;0.006;0.006;0.063;0.001;0.001;0.31;88.5;;2020;Primary Transit;;36.6;
2MASS 0359+2009 b;Confirmed;20.0;5.0;5.0;;;;;;;;;;540.0;;;;;;2019;Imaging;;117.76;0.06
2MASS J00413538-5621127 A;Confirmed;30.0;;;;;;;;;;;;;;;;;;2009;Imaging;;34.7133;
2MASS J00413538-5621127 B;Confirmed;15.0;;;;;;;;;126.0;37.0;86.0;8.9;1.9;3.7;;;;2010;Imaging;;34.7133;
2MASS J01225093-2439505 b;Confirmed;24.5;2.5;2.5;;;;;;;;;;52.0;6.0;6.0;;;;2013;Imaging;;36.0;0.4
2MASS J0249-0557 (AB) c;Confirmed;11.6;1.0;1.3;;;;;;;;;;;;;;;;2018;Astrometry;;48.9;
2MASS J0249-0557A;Confirmed;48.0;12.0;13.0;;;;;;;;;;;;;;;;2018;Astrometry;;48.9;
2MASS J0249-0557B;Confirmed;44.0;11.0;14.0;;;;;;;;;;;;;;;;2018;Astrometry;;48.9;
2MASS J0348-6022;Confirmed;43.0;18.0;22.0;;;;0.91;0.1;0.2;;;;;;;;;;2021;Imaging;;9.0;
2MASS J0407+1546;Confirmed;67.0;28.0;9.0;;;;0.97;0.8;0.24;;;;;;;;;;2021;Imaging;;36.4421;
2MASS J06023447-0034369 b;Confirmed;1.1;0.1;0.1;;;;1.3;;;3.0525;0.0001;0.0001;;;;;;;2021;Primary Transit;;;
2MASS J10475385+2124234;Confirmed;42.0;26.0;26.0;;;;;;;;;;;;;;;;1999;Imaging;;10.56;
2MASS J11011926-7732383 A;Confirmed;50.0;;;;;;;;;;;;;;;;;;2004;Imaging;;168.0;
2MASS J11011926-7732383 B;Confirmed;30.0;;;;;;;;;;;;240.0;;;;;;2004;Imaging;;168.0;
2MASS J1119-1137 b;Confirmed;3.7;0.9;1.2;;;;;;;32850.0;;;;;;;;;2017;Imaging;;;
2MASS J1155-7919 b;Confirmed;10.0;;;;;;;;;;;;582.0;;;;;;2020;Imaging;14.0;101.15;
