Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Binomial
1,5.1,3.5,1.4,0.2,Iris-setosa,True
2,4.9,3.0,1.4,0.2,Iris-setosa,True
3,4.7,3.2,1.3,0.2,Iris-setosa,False
4,4.6,3.1,1.5,0.2,Iris-setosa,True
5,5.0,3.6,1.4,0.2,Iris-setosa,True
6,5.4,3.9,1.7,0.4,Iris-setosa,False
7,4.6,3.4,1.4,0.3,Iris-setosa,False
8,5.0,3.4,1.5,0.2,Iris-setosa,False
9,4.4,2.9,1.4,0.2,Iris-setosa,False
10,4.9,3.1,1.5,0.1,Iris-setosa,True
11,5.4,3.7,1.5,0.2,Iris-setosa,True
12,4.8,3.4,1.6,0.2,Iris-setosa,True
13,4.8,3.0,1.4,0.1,Iris-setosa,False
14,4.3,3.0,1.1,0.1,Iris-setosa,True
15,5.8,4.0,1.2,0.2,Iris-setosa,True
16,5.7,4.4,1.5,0.4,Iris-setosa,True
17,5.4,3.9,1.3,0.4,Iris-setosa,False
18,5.1,3.5,1.4,0.3,Iris-setosa,True
19,5.7,3.8,1.7,0.3,Iris-setosa,False
20,5.1,3.8,1.5,0.3,Iris-setosa,True
21,5.4,3.4,1.7,0.2,Iris-setosa,True
22,5.1,3.7,1.5,0.4,Iris-setosa,False
23,4.6,3.6,1.0,0.2,Iris-setosa,False
24,5.1,3.3,1.7,0.5,Iris-setosa,True
25,4.8,3.4,1.9,0.2,Iris-setosa,True
26,5.0,3.0,1.6,0.2,Iris-setosa,True
27,5.0,3.4,1.6,0.4,Iris-setosa,False
28,5.2,3.5,1.5,0.2,Iris-setosa,True
29,5.2,3.4,1.4,0.2,Iris-setosa,True
30,4.7,3.2,1.6,0.2,Iris-setosa,True
31,4.8,3.1,1.6,0.2,Iris-setosa,False
32,5.4,3.4,1.5,0.4,Iris-setosa,True
33,5.2,4.1,1.5,0.1,Iris-setosa,True
34,5.5,4.2,1.4,0.2,Iris-setosa,True
35,4.9,3.1,1.5,0.1,Iris-setosa,False
36,5.0,3.2,1.2,0.2,Iris-setosa,True
37,5.5,3.5,1.3,0.2,Iris-setosa,True
38,4.9,3.1,1.5,0.1,Iris-setosa,True
39,4.4,3.0,1.3,0.2,Iris-setosa,True
40,5.1,3.4,1.5,0.2,Iris-setosa,True
41,5.0,3.5,1.3,0.3,Iris-setosa,False
42,4.5,2.3,1.3,0.3,Iris-setosa,True
43,4.4,3.2,1.3,0.2,Iris-setosa,True
44,5.0,3.5,1.6,0.6,Iris-setosa,True
45,5.1,3.8,1.9,0.4,Iris-setosa,True
46,4.8,3.0,1.4,0.3,Iris-setosa,False
47,5.1,3.8,1.6,0.2,Iris-setosa,True
48,4.6,3.2,1.4,0.2,Iris-setosa,False
49,5.3,3.7,1.5,0.2,Iris-setosa,True
50,5.0,3.3,1.4,0.2,Iris-setosa,True
51,7.0,3.2,4.7,1.4,Iris-versicolor,False
52,6.4,3.2,4.5,1.5,Iris-versicolor,False
53,6.9,3.1,4.9,1.5,Iris-versicolor,True
54,5.5,2.3,4.0,1.3,Iris-versicolor,True
55,6.5,2.8,4.6,1.5,Iris-versicolor,True
56,5.7,2.8,4.5,1.3,Iris-versicolor,False
57,6.3,3.3,4.7,1.6,Iris-versicolor,True
58,4.9,2.4,3.3,1.0,Iris-versicolor,False
59,6.6,2.9,4.6,1.3,Iris-versicolor,False
60,5.2,2.7,3.9,1.4,Iris-versicolor,True
61,5.0,2.0,3.5,1.0,Iris-versicolor,False
62,5.9,3.0,4.2,1.5,Iris-versicolor,False
