"Combined FIPS Code","ANSI Code","STNAME","County Name","POP2010","Total Congregations","Total Adherents","Total Adherents per Thousand","Evangelical Protestant Adherents","Evangelical Protestants Per Thousand","Black Protestant Adherents","Black Protestants per Thousand","Mainline Protestant  Adherents","Mainline Protestants per Thousand","Catholic Adherents","Catholic Adherents per Thousand","Orthodox Adherents","Orthodox Adherents per Thousand","Baha'I Adherents","Baha'I Adherents per Thousand","Buddhism, Mahayana Adherents","Buddhism, Mahayana Adherents per Thousand","Buddhism, Theravada Adherents","Buddhism, Theravada Adherents per Thousand","Buddhism, Vajrayana Adherents","Buddhism, Vajrayana Adherents per Thousand","Total Buddhist Adherents","Total Buddhist Adherents  per Thousand","Latter Day Saints Adherents","Latter Day Saints Adherents per Thousand","Indian-American Hindu Adherents","Indian-American Hindu Adherents per Thousand","Post Renaissance Hindu Adherents","Post Renaissance Hindu Adherents per Thousand","Renaissance Hindu Adherents","Renaissance Hindu Adherents per Thousand","Traditional Hindu Temples Adherents","Traditional Hindu Temples Adherents per Thousand","Total Hindu Adherents","Total Hindus Adherents per Thousand","Muslims Estimated","Muslims Estimated per Thousand","Conservative Judaism Adherents","Conservative Judaism Adherents per Thousand","Orthodox Judaism Adherents","Orthodox Judaism Adherents per Thousand","Reconstructionist Judaism Adherents","Reconstructionism Judaism Adherents per Thousand","Reform Judaism Adherents","Reform Judaism Adherents per Thousand","Total Judaism Adherents","Total Judaism Adherents per Thousand","Unitarian Universalist Adherents","Unitarian Universalist Adherents per Thousand","Zoroastrian Adherents","Zoroastrian Adherents per Thousand"
"1001","01001","Alabama","Autauga County","  54,571 ","  106 ","  36,938 ","676.88","  27,503 ","503.99","  2,291 ","41.98","  4,522 ","82.86","  1,766 ","32.36","","","  33 ","0.60","","","","","","","0","0.00","  820 ","15.03","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","  3 ","0.05"
"1003","01003","Alabama","Baldwin County","  182,265 ","  271 ","  96,918 ","531.74","  57,986 ","318.14","  3,130 ","17.17","  20,075 ","110.14","  14,009 ","76.86","  190 ","1.04","  37 ","0.20","","","","","","","0","0.00","  1,022 ","5.61","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","  146 ","0.80","",""
"1005","01005","Alabama","Barbour County","  27,457 ","  89 ","  15,101 ","549.99","  8,793 ","320.25","  3,328 ","121.21","  2,140 ","77.94","  575 ","20.94","","","","","","","","","","","0","0.00","  265 ","9.65","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1007","01007","Alabama","Bibb County","  22,915 ","  81 ","  11,430 ","498.80","  10,159 ","443.33","  966 ","42.16","  302 ","13.18","","","","","  3 ","0.13","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1009","01009","Alabama","Blount County","  57,322 ","  156 ","  37,352 ","651.62","  29,223 ","509.80","  58 ","1.01","  3,035 ","52.95","  4,744 ","82.76","","","  1 ","0.02","","","","","","","0","0.00","  291 ","5.08","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1011","01011","Alabama","Bullock County","  10,914 ","  47 ","  6,300 ","577.24","  2,152 ","197.18","  3,445 ","315.65","  601 ","55.07","  49 ","4.49","","","  53 ","4.86","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1013","01013","Alabama","Butler County","  20,947 ","  92 ","  12,278 ","586.15","  8,653 ","413.09","  1,657 ","79.10","  1,653 ","78.91","  77 ","3.68","","","","","","","","","","","0","0.00","  102 ","4.87","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1015","01015","Alabama","Calhoun County","  118,572 ","  281 ","  84,615 ","713.62","  67,564 ","569.81","  5,163 ","43.54","  7,066 ","59.59","  3,192 ","26.92","  40 ","0.34","  20 ","0.17","","","","","","","0","0.00","  1,149 ","9.69","","","","","","","","","0","0.00","  308 ","2.60","","","","","","","  113 ","0.95","  113 ","0.95","","","",""
"1017","01017","Alabama","Chambers County","  34,215 ","  119 ","  22,251 ","650.33","  12,903 ","377.12","  5,780 ","168.93","  3,080 ","90.02","  249 ","7.28","","","  2 ","0.06","","","","","","","0","0.00","  237 ","6.93","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1019","01019","Alabama","Cherokee County","  25,989 ","  79 ","  12,455 ","479.24","  10,865 ","418.06","","","  1,590 ","61.18","","","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1021","01021","Alabama","Chilton County","  43,643 ","  122 ","  30,488 ","698.58","  26,608 ","609.67","  1,116 ","25.57","  1,805 ","41.36","  709 ","16.25","","","  3 ","0.07","","","","","","","0","0.00","  247 ","5.66","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
"1023","01023","Alabama","Choctaw County","  13,859 ","  83 ","  9,721 ","701.42","  6,080 ","438.70","  2,635 ","190.13","  789 ","56.93","  60 ","4.33","","","","","","","","","","","0","0.00","  157 ","11.33","","","","","","","","","0","0.00","","","","","","","","","","","0","0.00","","","",""
