"Participant","GestureID","PlaneOrientation","GestureTap","Time","SpeedThumb","AccelerationThumb","SpeedIndex","AccelerationIndex","SpeedMiddle","AccelerationMiddle","PosXThumb","PosYThumb","PosZThumb","PosXIndex","PosYIndex","PosZIndex","PosXMiddle","PosYMiddle","PosZMiddle"
1,"DoubleTap","Horizontal",1,13.41868,0.06535643,2.940696,0.05086209,1.815473,0.1070087,1.25484,0.1160588,-0.02981589,0.7261084,0.1317183,0.03975157,0.7382445,0.1619639,0.04204233,0.7424892
1,"DoubleTap","Horizontal",1,12.26966,0.03271345,-7.187027,0.08384084,-6.305544,0.08416882,-6.546189,0.1098772,0.006687375,0.6567643,0.1271014,0.06522163,0.6575801,0.1540183,0.06922901,0.6661071
1,"DoubleTap","Horizontal",1,9.185658,0.04037246,-12.64276,0.04036694,-8.876818,0.04036941,-10.72645,0.1137372,-0.006274319,0.6779072,0.1296973,0.0515753,0.6831807,0.1559502,0.05021481,0.694102
1,"DoubleTap","Horizontal",1,11.96921,0.03154989,-5.308538,0.1013849,1.705363,0.06365078,-1.133949,0.1098526,-0.02181609,0.7180549,0.1290061,0.03294364,0.7329637,0.155277,0.03865105,0.7381542
1,"DoubleTap","Horizontal",1,13.23571,0.008833115,-0.8565916,0.0194989,-0.1182716,0.0250123,-2.536464,0.1161034,-0.03045599,0.7247732,0.1316456,0.04127835,0.7363955,0.1616583,0.04292881,0.742057
1,"DoubleTap","Horizontal",1,8.552531,0.02385468,0.6915628,0.01491172,0.2733529,0.0166165,0.6633034,0.1193451,-0.02432797,0.682777,0.1348798,0.03841952,0.6936845,0.1616213,0.0395858,0.7048596
1,"DoubleTap","Horizontal",1,13.40193,0.01611001,0.7924199,0.02045922,1.056812,0.08599449,5.040565,0.1169151,-0.03041658,0.7264305,0.1322905,0.03925015,0.7386273,0.1625469,0.04372742,0.7423107
1,"DoubleTap","Horizontal",1,13.9023,0.02600892,-2.232954,0.03925995,1.989444,0.09063677,0.6828086,0.1212388,-0.03018778,0.7269581,0.1306128,0.03806281,0.736738,0.1597442,0.03851226,0.7422796
1,"DoubleTap","Horizontal",1,14.4022,0.0590109,-4.392998,0.06021753,2.837238,0.01633754,0.453261,0.1162964,-0.02918396,0.7221084,0.1317061,0.03715908,0.7359129,0.1587175,0.03560185,0.7410583
1,"DoubleTap","Horizontal",1,12.65257,0.3081782,8.88984,0.216757,4.113449,0.2586905,2.948112,0.1152623,-0.03585794,0.7311957,0.1326216,0.02836111,0.7456341,0.1615202,0.03209247,0.7503889
1,"DoubleTap","Horizontal",1,10.28597,0.002985558,-1.869742,0.002982322,-1.03437,0.002985,-0.6900366,0.113448,-0.02135787,0.7198352,0.1324134,0.03162508,0.7320347,0.1564437,0.02370166,0.738222
1,"DoubleTap","Horizontal",1,12.21974,0.1952449,-23.12541,0.195248,-28.07435,0.1952481,-25.88449,0.1109769,0.00495579,0.6647317,0.1295507,0.06357265,0.6686876,0.1557142,0.06668308,0.6769303
1,"DoubleTap","Horizontal",1,12.11902,0.3856366,8.762389,0.4751609,11.20018,0.4126026,9.688136,0.1121951,-0.01699701,0.707419,0.130606,0.04021776,0.7200357,0.1564738,0.04254624,0.7260067
