Participant; Input; Distance; Width; Practice; Block; Trial; SerieNumber; TargetX; TargetY; Time; FirstClickTime; FirstClickDownX; FirstClickDownY; FirstClickUpX; FirstClickUpY; LastClickDownX; LastClickDownY; LastClickUpX; LastClickUpY; FullError; DownError; UpError; Reset
1; TokenAnse;864;24; true;0;1;1;0.5;0.5; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;864;24; true;0;1;2;0.4089845;0.7730463;1586; ;0;0;0;0;0.4038569;0.2313765;0.4043807;0.2344876;0;0;0; False
1; TokenAnse;864;24; true;0;1;3;0.6287153;0.5000001;1712;1578;0.6365087;0.4948171;0.6349695;0.49705;0.6365087;0.4948171;0.6349695;0.49705;0;0;0; False
1; TokenAnse;864;24; true;0;1;4;0.4089845;0.2269537;3358;3190;0.4133019;0.7604718;0.4121186;0.7710196;0.4133019;0.7604718;0.4121186;0.7710196;0;0;0; False
1; TokenAnse;864;24; true;0;1;5;0.5;0.8861458;1862;1702;0.5007185;0.1121827;0.5010616;0.1181586;0.5007185;0.1121827;0.5010616;0.1181586;0;0;0; False
1; TokenAnse;864;24; true;0;1;6;0.5910155;0.2269536;1563;1437;0.5891933;0.8017927;0.5863932;0.7860925;0.5891933;0.8017927;0.5863932;0.7860925;0;0;0; False
1; TokenAnse;864;24; true;0;1;7;0.3712847;0.5;1562;1420;0.3511577;0.5046247;0.3535337;0.5039552;0.3511577;0.5046247;0.3535337;0.5039552;0;0;0; False
1; TokenAnse;864;24; true;0;1;8;0.5910155;0.7730463;1679;1556;0.6016611;0.215009;0.6007686;0.2235626;0.6016611;0.215009;0.6007686;0.2235626;0;0;0; False
1; TokenAnse;4900;45; true;0;2;1;0.5;0.1138542; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; False
1; TokenAnse;4900;45; true;0;2;2;0.9166667;0.9114583;2011;1844;0.9181656;0.05899575;0.9063222;0.09270567;0.9181656;0.05899575;0.9063222;0.09270567;0;0;0; False
1; TokenAnse;4900;45; true;0;2;3;0.08333334;0.9114583;2111;1997;0.06943631;0.09798607;0.07688458;0.1053531;0.06943631;0.09798607;0.07688458;0.1053531;0;0;0; False
1; TokenAnse;4900;45; true;0;2;4;0.9166667;0.5677083;5271;5133;0.9084669;0.425522;0.905385;0.4357636;0.9084669;0.425522;0.905385;0.4357636;0;0;0; False
