Id,Cat,Carb(g),Sugars(g),Prot(g),fat(g),Calcium(mg),Carotene- beta (µg),Fatty acids- total saturated (g),Fatty acids- total trans (g),Folate(µg),Iodine(µg),Iron(mg),Magnesium(mg),omega6(g),omega3(g),Potassium(mg),Vit B12(µg),Vit C(mg)
0 Hummus- commercial,4,14.9,0.34,7.35,17.1,41.0,12.0,2.22,0.018,36.0,0.0,2.41,71.1,6.81,0.637,289.0,0.0,0.0
1 Tomatoes- grape- raw,1,5.51,0.0,0.83,0.63,11.0,0.0,0.0,0.0,10.0,0.0,0.33,11.9,0.0,0.0,260.0,0.0,27.2
2 Beans- snap- green- canned- regular pack- drained solids,1,4.11,1.29,1.04,0.39,36.0,0.0,0.0,0.0,0.0,0.0,0.78,12.7,0.0,0.0,97.0,0.0,0.0
3 Frankfurter- beef- unheated,9,2.89,1.26,11.7,28.0,15.0,0.0,11.4,1.59,0.0,0.0,1.14,11.5,0.625,0.078,343.0,0.97,0.0
4 Nuts- almonds- dry roasted- with salt added,6,16.2,4.17,20.4,57.8,273.0,17.0,4.56,0.032,35.0,0.0,3.17,258.0,14.5,0.05,684.0,0.0,0.0
5 Kale- raw,1,4.42,0.8,2.92,1.49,254.0,2870.0,0.0,0.0,62.0,0.0,1.6,32.7,0.0,0.0,348.0,0.0,93.4
6 Egg- whole- raw- frozen- pasteurized,2,0.91,0.0,12.3,10.3,55.0,0.0,0.0,0.0,0.0,61.6,1.77,11.2,0.0,0.0,117.0,0.0,0.0
7 Egg- white- raw- frozen- pasteurized,2,0.74,0.0,10.1,0.16,9.0,0.0,0.0,0.0,0.0,0.0,0.18,10.6,0.0,0.0,130.0,0.0,0.0
8 Egg- white- dried,2,6.02,0.0,79.9,0.65,104.0,0.0,0.0,0.0,0.0,34.0,0.0,87.6,0.0,0.0,959.0,0.0,0.0
9 Onion rings- breaded- par fried- frozen- prepared- heated in oven,1,36.3,4.5,4.52,14.4,28.0,0.0,2.15,0.041,31.0,0.0,1.14,20.4,6.66,0.859,135.0,0.0,1.6
10 Pickles- cucumber- dill or kosher dill,1,1.99,1.28,0.48,0.43,54.0,45.0,0.0,0.0,8.0,0.0,0.23,7.1,0.0,0.0,112.0,0.0,2.1
11 Cheese- parmesan- grated,2,12.4,0.07,29.6,28.0,884.0,0.0,15.5,0.896,6.0,0.0,0.45,34.9,0.861,0.102,184.0,1.35,0.0
12 Cheese- pasteurized process- American- vitamin D fortified,2,5.27,2.63,18.0,30.6,866.0,26.0,18.1,1.15,0.0,0.0,0.48,25.1,0.808,0.138,149.0,1.45,0.0
13 Grapefruit juice- white- canned or bottled- unsweetened,3,7.59,7.72,0.55,0.7,16.0,0.0,0.0,0.0,12.0,0.0,0.07,9.6,0.0,0.0,141.0,0.0,39.4
14 Peaches- yellow- raw,3,10.1,8.39,0.91,0.27,4.0,224.0,0.0,0.0,6.0,0.0,0.34,8.0,0.0,0.0,122.0,0.0,4.1
15 Seeds- sunflower seed kernels- dry roasted- with salt added,6,17.1,3.14,21.0,56.1,78.0,10.0,5.36,0.297,169.0,0.0,5.21,358.0,13.0,0.059,689.0,0.0,0.0
16 Bread- white- commercially prepared,11,49.2,5.34,9.43,3.59,211.0,0.0,0.821,0.035,0.0,0.0,3.36,26.9,1.67,0.2,117.0,0.0,0.0
17 Kale- frozen- cooked- boiled- drained- without salt,1,5.3,1.12,2.94,1.21,150.0,1730.0,0.0,0.0,65.0,0.0,0.84,25.0,0.0,0.0,144.0,0.0,17.8
18 Mustard- prepared- yellow,17,5.3,1.42,4.25,3.38,63.0,31.0,0.252,0.01,7.0,0.0,1.59,47.7,0.424,0.444,150.0,0.0,0.4
19 Kiwifruit- green- raw,3,14.0,8.99,1.06,0.44,35.0,52.0,0.0,0.0,26.0,0.0,0.24,15.7,0.0,0.0,198.0,0.0,74.7
20 Nectarines- raw,3,9.18,7.89,1.06,0.28,2.0,199.0,0.0,0.0,6.0,0.0,0.3,8.8,0.0,0.0,131.0,0.0,2.9
21 Cheese- cheddar,2,2.44,0.33,23.3,34.0,707.0,0.0,19.2,1.14,21.0,0.0,0.16,26.8,0.772,0.116,77.0,1.06,0.0
22 Cheese- cottage- lowfat- 2% milkfat,2,4.31,4.1,11.0,2.3,103.0,0.0,1.26,0.069,10.0,0.0,0.13,8.9,0.049,0.007,120.0,0.42,0.0
23 Cheese- mozzarella- low moisture- part-skim,2,4.44,1.81,23.7,20.4,693.0,0.0,11.7,0.705,26.0,0.0,0.2,27.2,0.489,0.075,116.0,1.65,0.0
24 Egg- whole- dried,2,1.87,0.0,48.1,39.8,220.0,0.0,0.0,0.0,0.0,274.0,6.97,44.6,0.0,0.0,468.0,0.0,0.0
25 Egg- yolk- raw- frozen- pasteurized,2,0.59,0.0,15.6,25.1,119.0,0.0,0.0,0.0,0.0,177.0,4.13,11.2,0.0,0.0,102.0,0.0,0.0
26 Egg- yolk- dried,2,1.07,0.0,34.2,55.5,270.0,0.0,0.0,0.0,0.0,349.0,9.28,26.0,0.0,0.0,231.0,0.0,0.0
27 Yogurt- Greek- plain- nonfat,2,3.64,3.27,10.3,0.37,111.0,0.0,0.108,0.005,0.0,0.0,0.07,10.7,0.01,0.001,141.0,0.7,0.0
28 Yogurt- Greek- strawberry- nonfat,2,12.2,11.5,8.06,0.15,97.0,2.0,0.103,0.002,20.0,0.0,0.09,10.4,0.015,0.006,133.0,0.45,0.2
29 Oil- coconut,7,0.84,0.0,0.0,99.1,1.0,0.0,82.5,0.028,0.0,0.0,0.05,0.0,1.68,0.02,0.0,0.0,0.0
30 Chicken- broilers or fryers- drumstick- meat only- cooked- braised,14,0.0,0.0,23.9,5.95,12.0,0.0,1.6,0.03,0.0,0.0,0.94,22.4,1.05,0.045,239.0,0.41,0.0
31 Chicken- broiler or fryers- breast- skinless- boneless- meat only- cooked- braised,14,0.0,0.0,32.1,3.24,6.0,0.0,1.01,0.013,0.0,0.0,0.49,32.0,0.598,0.026,343.0,0.2,0.0
32 Sauce- pasta- spaghetti/marinara- ready-to-serve,16,8.05,5.5,1.41,1.48,27.0,390.0,0.17,0.005,0.0,0.0,0.78,18.5,0.424,0.079,319.0,0.0,0.0
33 Ham- sliced- pre-packaged- deli meat (96%fat free- water added),9,0.27,0.0,16.7,3.73,5.0,0.0,1.12,0.01,0.0,0.0,0.58,18.8,0.443,0.013,425.0,0.0,0.0
