Session;Condition;Participant;Task;DataSet;IP;Move;MoveToPS;Select;BatchMoveSelection;BatchMoveSurface;BatchMoveFromPS;ExpandPS;EmptySurface;EmptySelection;Relayout;SurfaceCreated;SurfaceDestroyed;ToPSMoves;FromPSMoves;MaxItemInPS;TotItemsInSurfaces;MaxItemsInSurface;TotWalkDistance;TotItemMoveDistance;TotSurfaceMoveDistance;TotCursorMoveDistance;AvgDistanceToWall;InterPlayerDistance;CompletionTime;FirstActionTime;FirstToLastActionTime;InterCursorDistance
S0;AR;P1;Classification;1;116;1;0;29;8;0;0;0;0;0;6;1;0;0;0;0;20;22;16.69807;127.5326;7.287248;612.7082;3.262645;1.442184;387.02;384.9458;322.3609;2.189301
S0;AR;P2;Classification;1;180;3;0;77;6;0;0;0;0;0;3;1;0;0;0;0;61;22;14.09007;543.0402;16.89186;475.6679;3.396664;1.442184;387.02;384.9458;322.3609;2.189301
S0;AR;P1;Story;1;116;8;0;13;5;0;0;0;0;0;0;0;0;0;0;0;4;10;18.88131;36.48235;0;857.0965;2.850775;0.8916377;485.9;483.4189;329.0417;1.207583
S0;AR;P2;Story;1;180;13;0;4;1;0;0;0;0;0;1;1;0;0;0;0;6;10;19.00901;56.05406;8.631716;745.3629;3.430932;0.8916377;485.9;483.4189;329.0417;1.207583
S0;Wall;P2;Classification;2;180;50;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20.15297;88.69391;0;374.5831;3.360531;0.6360084;389;347.983;337.2286;1.238684
S0;Wall;P1;Classification;2;116;10;0;20;16;0;0;0;0;0;0;0;0;0;0;0;0;0;16.52423;72.3152;0;444.0964;3.370851;0.6360084;389;347.983;337.213;1.238684
S0;Wall;P2;Story;2;180;26;0;29;7;0;0;0;0;0;0;0;0;0;0;0;0;0;21.32253;90.83704;0;912.7603;3.485804;0.7441564;809.62;742.6073;550.1721;1.477483
S0;Wall;P1;Story;2;116;18;0;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0;32.33533;170.8214;0;1476.095;3.374989;0.7441564;809.62;742.6073;550.1721;1.477483
S1;AR;P1;Classification;2;116;34;0;28;7;0;0;0;0;0;14;2;0;0;0;0;42;32;15.47452;288.7106;72.96786;1062.191;3.871277;0.8293384;511.08;506.6654;456.2601;2.582368
S1;AR;P2;Classification;2;180;12;0;22;5;0;0;1;0;2;5;1;0;7;6;7;22;32;21.2245;224.6172;7.559225;1077.617;3.771941;0.8293384;511.08;506.6654;456.2601;2.582368
S1;AR;P2;Story;2;180;11;0;31;4;0;0;0;0;0;1;1;0;0;0;0;12;10;20.8698;59.06964;11.64254;1116.727;4.079054;0.9603021;658.66;652.3116;635.5109;1.631304
S1;AR;P1;Story;2;116;15;0;11;4;0;0;0;0;0;10;2;2;0;0;0;8;10;19.00008;48.45612;21.2708;976.7629;3.806031;0.9603021;658.66;652.3116;635.5109;1.631304
