;Volcano;Event;Magnitude;VEI;SampleID;SampleObservationID;Location;Longitude;Authors;DOI;TypeOfRegister;TypeOfAnalysis;AnalyzedMaterial;AnalyticalTechnique;TypeOfSection;Latitude;SectionID;Flag;HistoricalAge;SiO2;TiO2;Al2O3;FeOT;MnO;MgO;CaO;Na2O;K2O;P2O5
3787;Hudson;HW3;;;Opr-3;Opr-3-16;;-73.67;Haberle & Lumley, 1998;https://doi.org/10.1016/S0377-0273(98)00037-7;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-44.37;Laguna Oprasa;SampleID_Issue;;54.085;1.726;14.818;10.119;;4.233;7.594;3.532;1.089;
10222;Monte Burney;Unknown;;;T-33;LPA7_T33-38.698m_29;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;71.76648329;0.331904486;12.86944491;1.446493554;0.020270422;0.318075133;1.923890418;4.169834275;1.559117536;0.047834408
6093;Melimoyu;La Junta;;5.0;MM-1;MM-1-07;;-72.46178;Geoffroy et al., 2018;https://doi.org/10.1016/j.quascirev.2018.09.034;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-44.14278;Puente Los Cesares;EventName_Issue;;69.23;0.45;17.5;2.29;0.13;0.5;1.43;5.47;2.75;
13139;Quetrupillán;Puesco;4.4;4.0;CLD177B;Qu10-B-20;;-71.54839201;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.49497001;CLD177;;;67.28745426;0.80285257;15.18412441;3.937180993;0.202214737;0.818869578;2.391539637;4.546828393;3.459673916;0.246261511
3002;Chaitén;Cha1;5.5;5.0;13-1C;13-1C-26;;-72.449113;Watt et al., 2011b;https://doi.org/10.1016/j.quaint.2011.05.029;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-42.066959;;SampleID_Issue;;73.7231;0.1078;13.6103;1.1452;0.1298;0.1789;1.1774;3.99;2.9629;
14427;Unknown;Unknown;;;CALA01-59;LC1C_19;Lago Calafquen;-72.219;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.546;CALA01;;;55.7025;1.3968;15.395;9.2082;0.1899;4.0792;7.6485;4.0848;1.0328;0.2875
15963;Villarrica;Unknown;;;CAL2A-VI-70.5;LC5-B_10;Lago Calafquen;-72.25;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-39.549;CAL2;;;55.8535;1.5171;13.002;11.1245;0.1963;5.0024;7.68;3.2587;1.1985;0.279
904;Chaitén;Vcha-2008;;;1101SC1 8-9 cm;12-01-2/6;;-72.70622;Alloway et al., 2017a;https://doi.org/10.1016/j.quascirev.2017.05.011;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-42.90225;Lago Teo;Geochemistry_Issue;2008;76.37745;0.155;13.957757;1.459124;0.0;0.246;1.353;3.201264;3.063166;
5162;Llaima;Unknown;;;JK195a;JK195a-13;;-71.63;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-38.77;C260;;;65.22;0.8783;15.55;6.64;0.2138;1.1934;4.24;5.06;1.43;0.2324
10871;Puyehue-Cordón Caulle;PCC2011;5.0;;PCC-2;13-19-2-23;Bariloche (BSI),  km 7.600;-71.401777;Alloway et al., 2015;https://doi.org/10.1038/srep17589;Pyroclastic material;Micro Analytical;Glass shards;LA-ICP-MS;Outcrop;-41.13;;;2011;;;;;;;;;;
13288;Quetrupillán;Unknown;;;CLD184D;Qu12-D-16;;-71.63152901;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.38500204;CLD184;;;67.41835998;0.807915068;15.15716744;3.987516376;0.0;0.866981969;2.386703249;4.614226206;3.477939214;0.168190497
6022;Llaima;Llaima Pumice;;;LLA6;LLA6;;-71.62613;Schindlbeck et al., 2014;https://doi.org/10.1007/s00445-014-0830-x;Pyroclastic material;Bulk;Whole rock;XRF;Outcrop;-38.76943;CH001;Geochemistry_Issue;;59.36;1.16;16.74;;0.17;2.42;5.49;4.87;1.0;0.31
6047;Macá;MAC1;;;T-35;LPA7_T35-55.931m_15;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;SampleID_Issue;;66.01684388;0.47847042;13.99039272;2.712174758;0.02283779;0.719483983;2.919680415;4.019263845;2.39834234;0.123455103
12570;Quetrupillán;Quet3;3.0;3.0;CLD163D;Qu04-Gb-14;;-71.52932804;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.55901102;CLD163;;;68.19777358;0.733492312;14.94503094;3.505352753;0.109073209;0.801537983;2.351578353;4.405957229;3.12509753;0.158106119
16184;Villarrica;Unknown;;;CLD056B;12F1-D_9;;-71.86922089;Fontijn et al., 2016;https://doi.org/10.1016/j.quascirev.2016.02.015;Pyroclastic material;Micro Analytical;Glass shards;EMP;Outcrop;-39.33912979;CLD056;;;57.2619;1.5701;14.3323;10.4816;0.1605;3.5239;6.663;3.5789;1.1266;0.3126
4087;Hudson;H1;;;B-3;LPA_9.904m_3;Laguna Potrok Aike;-70.383333;Smith et al., 2019;https://doi.org/10.1016/j.quascirev.2019.06.001;Pyroclastic material;Micro Analytical;Glass shards;EMP;Lake core;-51.966667;ICDP 5022-2CP;;;64.37705701;1.212403715;15.68740486;4.584354959;0.055556495;1.341406094;2.738766224;5.991156711;2.920244147;0.332046956
